Player Name,Total Runs in IPL 2020
David Warner,537
KL Rahul,489
Quinton de Kock,467
Shikhar Dhawan,396
Andre Russell,432
Chris Gayle,395
Rishabh Pant,450
Virat Kohli,458
Shreyas Iyer,448
Jonny Bairstow,416
AB de Villiers,411
Suryakumar Yadav,393
MS Dhoni,416
Chris Lynn,368
Rohit Sharma,366
Hardik Pandya,417
Shane Watson,362
Faf du Plessis,389
Ajinkya Rahane,381
Suresh Raina,362
Parthiv Patel,349
Prithvi Shaw,334
Manish Pandey,343
Nitish Rana,340
Sanju Samson,380
Mayank Agarwal,367
Steve Smith,328
Jos Buttler,301
Shubman Gill,331
Ambati Rayudu,325
Robin Uthappa,292
Kieron Pollard,322
Dinesh Karthik,264
Vijay Shankar,297
Moeen Ali,251
David Miller,239
Marcus Stoinis,244
Colin Ingram,214
Krunal Pandya,216
Sarfaraz Khan,206
Nicholas Pooran,207
Mandeep Singh,201
Kedar Jadhav,181
Riyan Parag,187
Kane Williamson,180
Sunil Narine,167
Rahul Tripathi,170
Ben Stokes,153
Mohammad Nabi,144
Axar Patel,134
Ravindra Jadeja,124
Ishan Kishan,123
Yuvraj Singh,118
Gurkeerat Mann Singh,117
Sam Curran,107
Shimron Hetmyer,108
Wriddhiman Saha,105
Colin Munro,100
Martin Guptill,102
Dwayne Bravo,97
Sherfane Rutherford,87
Liam Livingstone,86
Stuart Binny,83
Jofra Archer,79
Deepak Hooda,77
Murali Vijay,77
Shreyas Gopal,72
Akshdeep Nath,73
Evin Lewis,56
Colin de Grandhomme,53
Piyush Chawla,47
Ravichandran Ashwin,48
Shivam Dube,48
Yusuf Pathan,44
Rinku Singh,43
Rashid Khan,38
Chris Morris,36
Mitchell Santner,38
Rahul Tewatia,28
Umesh Yadav,27
Amit Mishra,23
Harpreet Brar,20
Prayas Ray Barman,21
Keemo Paul,19
Ben Cutting,19
Krishnappa Gowtham,19
Simran Singh,17
Alzarri Joseph,15
Siddhesh Lad,16
Shardul Thakur,15
Kagiso Rabada,15
Bhuvneshwar Kumar,11
Kuldeep Yadav,12
Rahul Chahar,12
Mitchell McClenaghan,11
Carlos Brathwaite,12
Ishant Sharma,11
Shakib Al Hasan,9
Pawan Negi,9
Tim Southee,9
